runbook_id,path,family,handler,profile,required_signals,vulnerable_rule,secure_rule,inconclusive_rule,producer,equivalence_group,fixture_set
API-AUTH-APIKEY-QUERY-014,runbooks/authentication/api-auth-apikey-query-014.yaml,authentication,http,api-key-in-query,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/api-key-in-query,none,api-auth-apikey-query-014.json
API-AUTH-APIKEY-SCOPE-015,runbooks/authentication/api-auth-apikey-scope-015.yaml,authentication,workflow,api-key-scope,"api,key,prerequisites_missing,response_headers,response_status,scope,target_reachable,x","response_status in {200,401,403} and 'x-api-key-scope' not in response_headers",response_status==403 or 'x-api-key-scope' in response_headers,target_reachable == false or prerequisites_missing == true,workflow/api-key-scope,none,api-auth-apikey-scope-015.json
API-AUTH-BASIC-TRANSPORT-016,runbooks/authentication/api-auth-basic-transport-016.yaml,authentication,headers,basic-auth-transport,"auth.scheme,basic,http,https,prerequisites_missing,request.redirect_target,request.redirect_target.startswith,target_reachable",auth.scheme == 'basic' and request.redirect_target != '' and request.redirect_target.startswith('http://'),request.redirect_target == '' or request.redirect_target.startswith('https://'),target_reachable == false or prerequisites_missing == true,headers/basic-auth-transport,none,api-auth-basic-transport-016.json
API-AUTH-CREDENTIAL-RATE-019,runbooks/authentication/api-auth-credential-rate-019.yaml,authentication,race,credential-rate-limit,"False,True,prerequisites_missing,race_duplicate_success,target_reachable",race_duplicate_success==True,race_duplicate_success==False,target_reachable == false or prerequisites_missing == true,race/credential-rate-limit,none,api-auth-credential-rate-019.json
API-AUTH-EXPIRED-TOKEN-003,runbooks/authentication/api-auth-expired-token-003.yaml,authentication,jwt,expired-token,"body_sample,expired,prerequisites_missing,response_status,target_reachable",response_status==200 and 'expired' not in body_sample,response_status==401 and 'expired' in body_sample,target_reachable == false or prerequisites_missing == true,jwt/expired-token,none,api-auth-expired-token-003.json
API-AUTH-INVALID-BEARER-002,runbooks/authentication/api-auth-invalid-bearer-002.yaml,authentication,http,invalid-bearer-token,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/invalid-bearer-token,none,api-auth-invalid-bearer-002.json
API-AUTH-JWT-ALG-CONFUSION-006,runbooks/authentication/api-auth-jwt-alg-confusion-006.yaml,authentication,jwt,jwt-algorithm-confusion,"HS256,RS256,jwt_alg,prerequisites_missing,secret_bits,target_reachable","jwt_alg in {'None','HS256'} or secret_bits < 2048",jwt_alg=='RS256' and secret_bits >= 2048,target_reachable == false or prerequisites_missing == true,jwt/jwt-algorithm-confusion,none,api-auth-jwt-alg-confusion-006.json
API-AUTH-JWT-ALG-NONE-005,runbooks/authentication/api-auth-jwt-alg-none-005.yaml,authentication,jwt,jwt-alg-none,"HS256,RS256,jwt_alg,prerequisites_missing,secret_bits,target_reachable","jwt_alg in {'None','HS256'} or secret_bits < 2048",jwt_alg=='RS256' and secret_bits >= 2048,target_reachable == false or prerequisites_missing == true,jwt/jwt-alg-none,none,api-auth-jwt-alg-none-005.json
API-AUTH-JWT-AUDIENCE-008,runbooks/authentication/api-auth-jwt-audience-008.yaml,authentication,jwt,jwt-audience-validation,"api,crapi,hex0r,jwt.claims.aud,jwt.signature.valid,prerequisites_missing,target_reachable","jwt.claims.aud is None or jwt.claims.aud not in {'hex0r-api','crapi'}","jwt.claims.aud in {'hex0r-api','crapi'} and jwt.signature.valid == true",target_reachable == false or prerequisites_missing == true,jwt/jwt-audience-validation,none,api-auth-jwt-audience-008.json
API-AUTH-JWT-ISSUER-009,runbooks/authentication/api-auth-jwt-issuer-009.yaml,authentication,jwt,jwt-issuer-validation,"HS256,RS256,jwt_alg,prerequisites_missing,secret_bits,target_reachable","jwt_alg in {'None','HS256'} or secret_bits < 2048",jwt_alg=='RS256' and secret_bits >= 2048,target_reachable == false or prerequisites_missing == true,jwt/jwt-issuer-validation,none,api-auth-jwt-issuer-009.json
API-AUTH-JWT-SUBJECT-010,runbooks/authentication/api-auth-jwt-subject-010.yaml,authentication,jwt,jwt-subject-tampering,"HS256,RS256,jwt_alg,prerequisites_missing,secret_bits,target_reachable","jwt_alg in {'None','HS256'} or secret_bits < 2048",jwt_alg=='RS256' and secret_bits >= 2048,target_reachable == false or prerequisites_missing == true,jwt/jwt-subject-tampering,none,api-auth-jwt-subject-010.json
API-AUTH-JWT-WEAK-SECRET-007,runbooks/authentication/api-auth-jwt-weak-secret-007.yaml,authentication,jwt,jwt-weak-hmac-secret,"HS256,RS256,jwt_alg,prerequisites_missing,secret_bits,target_reachable","jwt_alg in {'None','HS256'} or secret_bits < 2048",jwt_alg=='RS256' and secret_bits >= 2048,target_reachable == false or prerequisites_missing == true,jwt/jwt-weak-hmac-secret,none,api-auth-jwt-weak-secret-007.json
API-AUTH-LOCKOUT-BYPASS-020,runbooks/authentication/api-auth-lockout-bypass-020.yaml,authentication,race,account-lockout-bypass,"False,True,prerequisites_missing,race_duplicate_success,target_reachable",race_duplicate_success==True,race_duplicate_success==False,target_reachable == false or prerequisites_missing == true,race/account-lockout-bypass,none,api-auth-lockout-bypass-020.json
API-AUTH-MFA-ENFORCEMENT-021,runbooks/authentication/api-auth-mfa-enforcement-021.yaml,authentication,workflow,mfa-enforcement,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/mfa-enforcement,none,api-auth-mfa-enforcement-021.json
API-AUTH-MFA-REPLAY-022,runbooks/authentication/api-auth-mfa-replay-022.yaml,authentication,workflow,mfa-replay,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/mfa-replay,none,api-auth-mfa-replay-022.json
API-AUTH-MISSING-001,runbooks/authentication/api-auth-missing-001.yaml,authentication,http,missing-authentication,"auth.accepted,prerequisites_missing,response_status,target_reachable",auth.accepted == false and response_status == 200,"auth.accepted == true or response_status in {401,403}",target_reachable == false or prerequisites_missing == true,http/missing-authentication,none,api-auth-missing-001.json
API-AUTH-PASSWORD-POLICY-018,runbooks/authentication/api-auth-password-policy-018.yaml,authentication,workflow,password-policy,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/password-policy,none,api-auth-password-policy-018.json
API-AUTH-REFRESH-REUSE-012,runbooks/authentication/api-auth-refresh-reuse-012.yaml,authentication,workflow,refresh-token-reuse,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/refresh-token-reuse,none,api-auth-refresh-reuse-012.json
API-AUTH-REFRESH-ROTATION-013,runbooks/authentication/api-auth-refresh-rotation-013.yaml,authentication,workflow,refresh-token-rotation,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/refresh-token-rotation,none,api-auth-refresh-rotation-013.json
API-AUTH-RESET-BINDING-024,runbooks/authentication/api-auth-reset-binding-024.yaml,authentication,workflow,password-reset-binding,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/password-reset-binding,none,api-auth-reset-binding-024.json
API-AUTH-RESET-ENTROPY-023,runbooks/authentication/api-auth-reset-entropy-023.yaml,authentication,workflow,password-reset-entropy,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/password-reset-entropy,none,api-auth-reset-entropy-023.json
API-AUTH-TOKEN-REPLAY-011,runbooks/authentication/api-auth-token-replay-011.yaml,authentication,workflow,access-token-replay,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/access-token-replay,none,api-auth-token-replay-011.json
API-AUTH-UNSIGNED-JWT-004,runbooks/authentication/api-auth-unsigned-jwt-004.yaml,authentication,jwt,unsigned-jwt,"alg,headers,jwt_alg,prerequisites_missing,target_reachable",jwt_alg=='None' and 'alg' in headers,'alg' in headers and jwt_alg!='None',target_reachable == false or prerequisites_missing == true,jwt/unsigned-jwt,none,api-auth-unsigned-jwt-004.json
API-AUTH-USER-ENUM-017,runbooks/authentication/api-auth-user-enum-017.yaml,authentication,http,login-user-enumeration,"by,powered,prerequisites_missing,response_headers,response_status,target_reachable,x","response_status in {200,401,403,500} and 'x-powered-by' in response_headers","response_status in {401,403} or 'x-powered-by' not in response_headers",target_reachable == false or prerequisites_missing == true,http/login-user-enumeration,none,api-auth-user-enum-017.json
API-AUTHZ-BATCH-010,runbooks/authorization/api-authz-batch-010.yaml,authorization,workflow,batch-item-authorization,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/batch-item-authorization,none,api-authz-batch-010.json
API-AUTHZ-BFLA-ADMIN-004,runbooks/authorization/api-authz-bfla-admin-004.yaml,authorization,workflow,bfla-admin,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/bfla-admin,none,api-authz-bfla-admin-004.json
API-AUTHZ-BOLA-DELETE-003,runbooks/authorization/api-authz-bola-delete-003.yaml,authorization,workflow,bola-delete,"blocked,failed,handler_signal,hardened,passed,prerequisites_missing,secure,target_reachable","handler_signal in {'failed','blocked'}","handler_signal in {'secure','hardened','passed'}",target_reachable == false or prerequisites_missing == true,workflow/bola-delete,none,api-authz-bola-delete-003.json
